Tag,Label,Index Category,Index value
#passion_crucifixion,passion crucifixion,subjects_and_themes_t,crucifixion
#passion_deposition,passion deposition,subjects_and_themes_t,passion deposition
#passion_deposition,passion deposition,subjects_and_themes_t,deposition
#passion_deposition,passion deposition,subjects_and_themes_t,passion cycle
#passion_entombment,passion entombment,subjects_and_themes_t,passion entombment
#passion_entombment,passion entombment,subjects_and_themes_t,entombment
#passion_entombment,passion entombment,subjects_and_themes_t,passion cycle
#passion_flagellation,passion flagellation,subjects_and_themes_t,passion flagellation
#passion_flagellation,passion flagellation,subjects_and_themes_t,flagellation
#passion_flagellation,passion flagellation,subjects_and_themes_t,passion cycle
#passion_pilate,passion pilate,subjects_and_themes_t,passion pilate
#passion_pilate,passion pilate,subjects_and_themes_t,passion cycle
#passion_pilate,passion pilate,subjects_and_themes_t,pilate
#passionpsalms,passion psalms,text_t,psalm (passion)
#paul,paul,subjects_and_themes_t,paul
#peace,peace,,peace
,,,
#pentecost,pentecost,subjects_and_themes_t,pentecost
#pentrial,pentrial,,pentrial
#peter,peter,subjects_and_themes_t,peter
#peterandpaul,peter and paul,subjects_and_themes_t,peter
#peterandpaul,peter and paul,subjects_and_themes_t,paul
#prayer,prayer,text_t,prayer
#prayertothecross,prayer to the cross,text_t,prayer to the cross
#presentationofmary,presentation of mary,subjects_and_themes_t,presentation of mary
#presentationofmary,presentation of mary,subjects_and_themes_t,mary
#psalm,psalm,text_t,psalm
#psalm_38,psalm 38,,psalm 38
#psalm_gradual,psalm gradual,text_t,psalm (gradual)
#psalm_penitential,psalm penitential,text_t,psalm (penitential)
,,,
#psalm_passion,psalm passion,text_t,psalm (passion)
#q,q,letter_form_t,q
#quire_1,quire 1,,quire 1
#quire_10,quire 10,,quire 10
#quire_11,quire 11,,quire 11
#quire_12,quire 12,,quire 12
#quire_13,quire 13,,quire 13
#quire_14,quire 14,,quire 14
#quire_15,quire 15,,quire 15
#quire_17,quire 17,,quire 17
#quire_18,quire 18,,quire 18
#quire_19,quire 19,,quire 19
#quire_2,quire 2,,quire 2
#quire_3,quire 3,,quire 3
#quire_4,quire 4,,quire 4
#quire_5,quire 5,,quire 5
#quire_6,quire 6,,quire 6
#quire_7,quire 7,,quire 7
#quire_8,quire 8,,quire 8
#quire_9,quire 9,,quire 9
#quiresignature,quire signature,codicological_feature_t,quire signature(s)
#raisingofsouls,raising of souls,subjects_and_themes_t,raising of souls
#red,red,codicological_color_t,red
#resurrection,resurrection,subjects_and_themes_t,resurrection
#rose,rose,codicological_color_t,rose
#rubrication_box,rubrication box,,rubrication box
#runningtitle,running title,codicological_feature_t,running title
#s,s,letter_form_t,s
#sacrament,sacrament,subjects_and_themes_t,sacrament
#salutation,salutation,subjects_and_themes_t,salutation
#salvatormundi,salvatormundi,subjects_and_themes_t,salvatormundi
#salveregina,salve regina,text_t,salveregina
#sanctafacies,sanctafacies,subjects_and_themes_t,sanctafacies
#scribe,scribe,,scribe
#scribe_A,scribe A,,scribe A
#scribe_B,scribe B,,scribe B
#scribe_C,scribe C,,scribe C
#scribe_D,scribe D,,scribe D
#scribe_E,scribe E,,scribe E
#sevenjoys,sevenjoys,,sevenjoys
#sevenwords,sevenwords,,sevenwords
#sidewound,sidewound,subjects_and_themes_t,sidewound
#sign_aries,sign aries,,sign aries
#sign_cancer,sign cancer,,sign cancer
#sign_capricorn,sign capricorn,,sign capricorn
#sign_gemini,sign gemini,,sign gemini
#sign_leo,sign leo,,sign leo
#sign_pisces,sign pisces,,sign pisces
#sign_sagittarius,sign sagittarius,,sign sagittarius
#sign_scorpio,sign scorpio,,sign scorpio
#sign_taurus,sign taurus,,sign taurus
#sign_virgo,sign virgo,,sign virgo
#stephen,stephen,subjects_and_themes_t,stephen
#stolaf,st olaf,subjects_and_themes_t,olaf
#subpuncting,subpuncting,,subpuncting
#suffrage,suffrage,text_t,suffrage
#suffrage_andrew,suffrage andrew,subjects_and_themes_t,andrew
#suffrage_andrew,suffrage andrew,text_t,suffrage
#suffrage_barnabus,suffrage barnabus,subjects_and_themes_t,barnabus
#suffrage_barnabus,suffrage barnabus,text_t,suffrage
#suffrage_bartholomew,suffrage bartholomew,subjects_and_themes_t,bartholomew
#suffrage_bartholomew,suffrage bartholomew,text_t,suffrage
#suffrage_catherine,suffrage catherine,subjects_and_themes_t,catherine
#suffrage_catherine,suffrage catherine,text_t,suffrage
#suffrage_cecilia,suffrage cecilia,subjects_and_themes_t,cecilia
#suffrage_cecilia,suffrage cecilia,text_t,suffrage
#suffrage_christopher,suffrage christopher,subjects_and_themes_t,christopher
#suffrage_christopher,suffrage christopher,text_t,suffrage
#suffrage_crucifiedchrist,suffrage crucified christ,subjects_and_themes_t,crucified christ
#suffrage_crucifiedchrist,suffrage crucified christ,text_t,suffrage
#suffrage_edmund,suffrage edmund,subjects_and_themes_t,edmund
#suffrage_edmund,suffrage edmund,text_t,suffrage
#suffrage_george,suffrage george,subjects_and_themes_t,george
#suffrage_george,suffrage george,text_t,suffrage
#suffrage_james,suffrage james,subjects_and_themes_t,james
#suffrage_james,suffrage james,text_t,suffrage
#suffrage_john,suffrage john,subjects_and_themes_t,john
#suffrage_john,suffrage john,text_t,suffrage
#suffrage_jude,suffrage jude,subjects_and_themes_t,jude
#suffrage_jude,suffrage jude,text_t,suffrage
#suffrage_margaret,suffrage margaret,subjects_and_themes_t,margaret
#suffrage_margaret,suffrage margaret,text_t,suffrage
#suffrage_matthew,suffrage matthew,subjects_and_themes_t,matthew
#suffrage_matthew,suffrage matthew,text_t,suffrage
#suffrage_paul,suffrage paul,subjects_and_themes_t,paul
