Tag,Label,Index Category,Index value
#runningtitle,running title,,running title
#s,s,letter_form_t,s
#sacrament,sacrament,,sacrament
#salutation,salutation,,salutation
#salvatormundi,salvatormundi,,salvatormundi
#salveregina,salveregina,,salveregina
#sanctafacies,sanctafacies,,sanctafacies
#scribe,scribe,,scribe
#scribe_A,scribe A,,scribe A
#scribe_B,scribe B,,scribe B
#scribe_C,scribe C,,scribe C
#scribe_D,scribe D,,scribe D
#scribe_E,scribe E,,scribe E
#sevenjoys,sevenjoys,,sevenjoys
#sevenwords,sevenwords,,sevenwords
#sidewound,sidewound,,sidewound
#sign_aries,sign aries,,sign aries
#sign_cancer,sign cancer,,sign cancer
#sign_capricorn,sign capricorn,,sign capricorn
#sign_gemini,sign gemini,,sign gemini
#sign_leo,sign leo,,sign leo
#sign_pisces,sign pisces,,sign pisces
#sign_sagittarius,sign sagittarius,,sign sagittarius
#sign_scorpio,sign scorpio,,sign scorpio
#sign_taurus,sign taurus,,sign taurus
#sign_virgo,sign virgo,,sign virgo
#stephen,stephen,,stephen
#subpuncting,subpuncting,,subpuncting
#suffrage,suffrage,,suffrage
#suffrage_andrew,suffrage andrew,,suffrage andrew
#suffrage_barnabus,suffrage barnabus,,suffrage barnabus
#suffrage_bartholomew,suffrage bartholomew,,suffrage bartholomew
#suffrage_catherine,suffrage catherine,,suffrage catherine
#suffrage_cecilia,suffrage cecilia,,suffrage cecilia
#suffrage_christopher,suffrage christopher,,suffrage christopher
#suffrage_crucifiedchrist,suffrage crucifiedchrist,,suffrage crucifiedchrist
#suffrage_edmund,suffrage edmund,,suffrage edmund
#suffrage_george,suffrage george,,suffrage george
#suffrage_james,suffrage james,,suffrage james
#suffrage_john,suffrage john,,suffrage john
#suffrage_jude,suffrage jude,,suffrage jude
#suffrage_margaret,suffrage margaret,,suffrage margaret
#suffrage_matthew,suffrage matthew,,suffrage matthew
#suffrage_paul,suffrage paul,,suffrage paul
#suffrage_peter,suffrage peter,,suffrage peter
#suffrage_symon,suffrage symon,,suffrage symon
#suffrage_thomas,suffrage thomas,,suffrage thomas
#suffrage_thomasbecket,suffrage thomasbecket,,suffrage thomasbecket
#suffrage_trinity,suffrage trinity,,suffrage trinity
#symon,symon,,symon
#t,t,letter_form_t,t
#textink,textink,,textink
#thomas,thomas,,thomas
#thomasbecket,thomasbecket,,thomasbecket
#threemarysatsepulcher,threemarysatsepulcher,,threemarysatsepulcher
#treeofjesse,treeofjesse,,treeofjesse
#trinity,trinity,,trinity
#u,u,letter_form_t,u
#v,v,letter_form_t,v
#venisanctespiritus,venisanctespiritus,,venisanctespiritus
#virgin,virgin,,virgin
#virginwithchild,virginwithchild,decoration_t,virginwithchild
#virginwithchild,,decoration_t,virgin
#visitation,visitation,,visitation
#w,w,letter_form_t,w
#wounds_head,wounds head,decoration_t,wounds head
#wounds_head,,decoration_t,
#wounds_leftfoot,wounds left foot,decoration_t,wounds left foot
#wounds_leftfoot,,decoration_t,
#wounds_lefthand,wounds left hand,decoration_t,wounds left hand
#wounds_lefthand,,decoration_t,
#wounds_rightfoot,wounds right foot,decoration_t,wounds right foot
#wounds_rightfoot,,decoration_t,
#wounds_righthand,wounds right hand,decoration_t,wounds right hand
#wounds_righthand,,decoration_t,
#wounds_side,wounds side,decoration_t,wounds side
#wounds_side,,decoration_t,
#woundsofchrist,wounds of christ,decoration_t,wounds of christ
#y,y,letter_form_t,y
#zodiac_aquarius ,zodiac aquarius ,decoration_t,zodiac aquarius 
